
映像名称                       PID 会话名              会话#       内存使用 
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        352 K
Registry                       148 Services                   0     21,312 K
smss.exe                       516 Services                   0      1,876 K
csrss.exe                      712 Services                   0      8,944 K
csrss.exe                      788 Console                    1      7,940 K
wininit.exe                    796 Services                   0     11,664 K
winlogon.exe                   848 Console                    1     17,088 K
services.exe                   932 Services                   0     13,172 K
lsass.exe                      952 Services                   0     34,672 K
svchost.exe                    632 Services                   0     44,520 K
fontdrvhost.exe                620 Console                    1      6,668 K
fontdrvhost.exe                488 Services                   0      5,656 K
svchost.exe                   1060 Services                   0     18,992 K
svchost.exe                   1124 Services                   0     14,792 K
dwm.exe                       1216 Console                    1    105,492 K
svchost.exe                   1348 Services                   0      8,156 K
svchost.exe                   1356 Services                   0     16,332 K
svchost.exe                   1364 Services                   0     19,596 K
svchost.exe                   1488 Services                   0     15,644 K
svchost.exe                   1496 Services                   0     19,428 K
svchost.exe                   1548 Services                   0     11,284 K
svchost.exe                   1636 Services                   0     23,848 K
svchost.exe                   1664 Services                   0     27,284 K
svchost.exe                   1716 Services                   0      9,060 K
svchost.exe                   1792 Services                   0     27,388 K
XtaCache.exe                  1804 Services                   0      8,352 K
svchost.exe                   1860 Services                   0      8,640 K
svchost.exe                   1868 Services                   0     12,400 K
svchost.exe                   1876 Services                   0     22,872 K
Memory Compression            1972 Services                   0         暂缺
svchost.exe                   2024 Services                   0     13,476 K
svchost.exe                   1192 Services                   0     11,224 K
svchost.exe                   1328 Services                   0     13,348 K
svchost.exe                   2144 Services                   0     13,332 K
svchost.exe                   2184 Services                   0     22,168 K
svchost.exe                   2228 Services                   0     13,028 K
svchost.exe                   2384 Services                   0     12,336 K
svchost.exe                   2396 Services                   0      9,920 K
svchost.exe                   2524 Services                   0     11,592 K
svchost.exe                   2544 Services                   0     26,848 K
svchost.exe                   2572 Services                   0     10,644 K
svchost.exe                   2648 Services                   0     15,420 K
svchost.exe                   2684 Services                   0     25,956 K
spoolsv.exe                   2960 Services                   0     23,760 K
svchost.exe                   2972 Services                   0     11,240 K
svchost.exe                   2980 Services                   0     15,624 K
svchost.exe                   3052 Services                   0     28,404 K
svchost.exe                   3124 Services                   0     14,956 K
svchost.exe                   3188 Services                   0     12,280 K
svchost.exe                   3204 Services                   0     17,516 K
svchost.exe                   3252 Services                   0     24,404 K
svchost.exe                   3336 Services                   0     24,308 K
svchost.exe                   3364 Services                   0     18,484 K
blnsvr.exe                    3376 Services                   0     12,432 K
svchost.exe                   3396 Services                   0     64,508 K
pg_ctl.exe                    3432 Services                   0     17,020 K
svchost.exe                   3532 Services                   0     33,420 K
vdservice.exe                 3540 Services                   0      7,548 K
MsMpEng.exe                   3552 Services                   0    260,060 K
spice-webdavd.exe             3576 Services                   0     20,488 K
MpDefenderCoreService.exe     3612 Services                   0     30,472 K
SACSRV.exe                    3628 Services                   0     25,776 K
qemu-ga.exe                   3596 Services                   0     29,928 K
svchost.exe                   3672 Services                   0     16,068 K
vdagent.exe                   3744 Console                    1     13,416 K
svchost.exe                   4148 Services                   0     19,788 K
postgres.exe                  4624 Services                   0     33,452 K
conhost.exe                   4632 Services                   0     12,576 K
postgres.exe                  5112 Services                   0     20,412 K
postgres.exe                  3144 Services                   0     23,204 K
postgres.exe                  2212 Services                   0     21,776 K
svchost.exe                   4072 Services                   0     14,872 K
postgres.exe                  2208 Services                   0     24,720 K
postgres.exe                  4700 Services                   0     21,208 K
postgres.exe                  4824 Services                   0     21,412 K
svchost.exe                   4844 Services                   0     21,768 K
svchost.exe                   4968 Services                   0     41,596 K
svchost.exe                   3304 Services                   0     13,544 K
svchost.exe                   5736 Services                   0     12,084 K
dasHost.exe                   5868 Services                   0     10,664 K
AggregatorHost.exe            5900 Services                   0     14,068 K
svchost.exe                   6008 Services                   0     13,444 K
svchost.exe                   4384 Services                   0     32,516 K
svchost.exe                   4856 Services                   0     21,992 K
svchost.exe                   5280 Services                   0     34,824 K
svchost.exe                   5596 Services                   0     29,072 K
svchost.exe                   5560 Services                   0     11,532 K
