"映像名称","PID","会话名      ","会话#   ","内存使用 "
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","352 K"
"Registry","148","Services","0","20,980 K"
"smss.exe","512","Services","0","1,752 K"
"csrss.exe","668","Services","0","8,736 K"
"wininit.exe","744","Services","0","11,540 K"
"csrss.exe","752","Console","1","8,296 K"
"winlogon.exe","816","Console","1","17,288 K"
"services.exe","888","Services","0","13,172 K"
"lsass.exe","908","Services","0","35,900 K"
"svchost.exe","548","Services","0","49,512 K"
"fontdrvhost.exe","492","Console","1","15,440 K"
"fontdrvhost.exe","496","Services","0","14,216 K"
"svchost.exe","884","Services","0","19,608 K"
"svchost.exe","1072","Services","0","27,252 K"
"dwm.exe","1144","Console","1","143,984 K"
"svchost.exe","1336","Services","0","7,916 K"
"svchost.exe","1340","Services","0","8,952 K"
"svchost.exe","1384","Services","0","19,652 K"
"svchost.exe","1500","Services","0","16,300 K"
"svchost.exe","1560","Services","0","15,640 K"
"svchost.exe","1568","Services","0","20,640 K"
"svchost.exe","1636","Services","0","15,804 K"
"svchost.exe","1644","Services","0","12,176 K"
"svchost.exe","1732","Services","0","25,200 K"
"svchost.exe","1828","Services","0","23,404 K"
"XtaCache.exe","1836","Services","0","10,692 K"
"svchost.exe","1916","Services","0","10,620 K"
"svchost.exe","1928","Services","0","12,272 K"
"svchost.exe","1936","Services","0","22,940 K"
"svchost.exe","1948","Services","0","8,468 K"
"Memory Compression","1728","Services","0","103,792 K"
"svchost.exe","2056","Services","0","13,420 K"
"svchost.exe","2160","Services","0","13,152 K"
"svchost.exe","2184","Services","0","11,556 K"
"svchost.exe","2212","Services","0","13,752 K"
"svchost.exe","2304","Services","0","23,380 K"
"svchost.exe","2488","Services","0","12,852 K"
"svchost.exe","2556","Services","0","14,784 K"
"svchost.exe","2564","Services","0","12,236 K"
"svchost.exe","2668","Services","0","29,516 K"
"svchost.exe","2704","Services","0","11,556 K"
"svchost.exe","2808","Services","0","15,576 K"
"svchost.exe","2840","Services","0","15,640 K"
"svchost.exe","2848","Services","0","11,044 K"
"svchost.exe","2936","Services","0","26,288 K"
"svchost.exe","3020","Services","0","14,780 K"
"spoolsv.exe","3032","Services","0","23,808 K"
"svchost.exe","2392","Services","0","33,664 K"
"svchost.exe","3092","Services","0","23,944 K"
"svchost.exe","3108","Services","0","12,108 K"
"svchost.exe","3276","Services","0","23,672 K"
"svchost.exe","3376","Services","0","13,020 K"
"blnsvr.exe","3520","Services","0","12,232 K"
"svchost.exe","3536","Services","0","74,460 K"
"svchost.exe","3560","Services","0","39,916 K"
"svchost.exe","3580","Services","0","18,376 K"
"qemu-ga.exe","3596","Services","0","33,828 K"
"svchost.exe","3608","Services","0","14,344 K"
"spice-webdavd.exe","3680","Services","0","18,812 K"
"pg_ctl.exe","3704","Services","0","16,912 K"
"vdservice.exe","3712","Services","0","7,132 K"
"MsMpEng.exe","3728","Services","0","314,012 K"
"SACSRV.exe","3744","Services","0","26,972 K"
"MpDefenderCoreService.exe","3784","Services","0","32,400 K"
"svchost.exe","3848","Services","0","38,876 K"
"vdagent.exe","3928","Console","1","12,152 K"
"svchost.exe","4072","Services","0","10,984 K"
"svchost.exe","4236","Services","0","18,868 K"
"dasHost.exe","4448","Services","0","9,740 K"
"svchost.exe","4696","Services","0","18,796 K"
"svchost.exe","4840","Services","0","22,260 K"
"svchost.exe","4944","Services","0","12,544 K"
"sihost.exe","5040","Console","1","60,280 K"
"svchost.exe","5104","Console","1","27,320 K"
"svchost.exe","5160","Services","0","12,508 K"
"svchost.exe","5184","Console","1","13,092 K"
"postgres.exe","5212","Services","0","33,744 K"
"conhost.exe","5296","Services","0","11,964 K"
"svchost.exe","5312","Console","1","53,300 K"
"MicrosoftEdgeUpdate.exe","5580","Services","0","9,500 K"
"taskhostw.exe","5592","Console","1","24,940 K"
"svchost.exe","5608","Services","0","32,444 K"
"rundll32.exe","5848","Console","1","16,668 K"
"svchost.exe","6100","Services","0","25,640 K"
"postgres.exe","428","Services","0","20,644 K"
"postgres.exe","1260","Services","0","23,008 K"
"postgres.exe","3496","Services","0","22,012 K"
"AggregatorHost.exe","3640","Services","0","18,884 K"
"explorer.exe","5588","Console","1","327,724 K"
"postgres.exe","6440","Services","0","24,972 K"
"postgres.exe","6448","Services","0","21,448 K"
"postgres.exe","6456","Services","0","21,396 K"
"svchost.exe","6552","Services","0","17,252 K"
"svchost.exe","6696","Console","1","31,436 K"
"CrossDeviceResume.exe","6860","Console","1","56,828 K"
"StartMenuExperienceHost.exe","4508","Console","1","184,172 K"
"SearchHost.exe","4932","Console","1","146,788 K"
"svchost.exe","5280","Services","0","30,000 K"
"svchost.exe","7248","Services","0","18,448 K"
"Widgets.exe","7404","Console","1","80,804 K"
"RuntimeBroker.exe","7440","Console","1","61,776 K"
"svchost.exe","7452","Console","1","30,544 K"
"WidgetService.exe","7988","Console","1","33,528 K"
"msedgewebview2.exe","8132","Console","1","133,336 K"
"msedgewebview2.exe","8312","Console","1","14,664 K"
"msedgewebview2.exe","8704","Console","1","48,460 K"
"msedgewebview2.exe","8720","Console","1","44,276 K"
"msedgewebview2.exe","8828","Console","1","22,244 K"
"msedgewebview2.exe","9040","Console","1","121,756 K"
"svchost.exe","6416","Services","0","13,180 K"
"svchost.exe","5660","Services","0","20,484 K"
"ctfmon.exe","6152","Console","1","53,432 K"
"ChsIME.exe","9344","Console","1","13,512 K"
"svchost.exe","9468","Services","0","38,968 K"
"TextInputHost.exe","9676","Console","1","95,624 K"
"NisSrv.exe","10140","Services","0","18,548 K"
"SecurityHealthSystray.exe","9224","Console","1","16,156 K"
"SecurityHealthService.exe","9228","Services","0","29,912 K"
"SACMonitor.exe","9160","Console","1","31,704 K"
"OneDrive.exe","9576","Console","1","101,668 K"
"SearchIndexer.exe","9440","Services","0","60,316 K"
"svchost.exe","1796","Services","0","37,284 K"
"svchost.exe","2592","Services","0","12,976 K"
"svchost.exe","3776","Services","0","20,884 K"
"svchost.exe","6352","Services","0","43,396 K"
"svchost.exe","5192","Services","0","17,364 K"
"msedgewebview2.exe","7504","Console","1","10,572 K"
"msedgewebview2.exe","7540","Console","1","16,040 K"
"msedgewebview2.exe","7376","Console","1","3,112 K"
"msedgewebview2.exe","3896","Console","1","2,380 K"
"msedgewebview2.exe","9684","Console","1","16 K"
"msedgewebview2.exe","6648","Console","1","5,920 K"
"ShellExperienceHost.exe","8144","Console","1","93,944 K"
"RuntimeBroker.exe","1164","Console","1","33,048 K"
"svchost.exe","8100","Services","0","14,992 K"
"svchost.exe","1284","Services","0","18,504 K"
"svchost.exe","4320","Services","0","40,796 K"
"svchost.exe","6776","Services","0","11,428 K"
"svchost.exe","6936","Services","0","17,176 K"
"Weixin.exe","5064","Console","1","106,848 K"
"crashpad_handler.exe","1392","Console","1","8,296 K"
"Weixin.exe","7620","Console","1","8,920 K"
"Weixin.exe","4352","Console","1","6,888 K"
"Weixin.exe","4764","Console","1","5,312 K"
"Weixin.exe","10336","Console","1","3,380 K"
"OneDrive.Sync.Service.exe","9100","Console","1","13,436 K"
"svchost.exe","1468","Services","0","13,196 K"
"msedge.exe","11332","Console","1","207,976 K"
"msedge.exe","1140","Console","1","15,704 K"
"msedge.exe","4988","Console","1","49,836 K"
"msedge.exe","11240","Console","1","47,100 K"
"msedge.exe","2260","Console","1","22,744 K"
"msedge.exe","8804","Console","1","15,084 K"
"msedge.exe","6980","Console","1","9,044 K"
"svchost.exe","9368","Console","1","20,900 K"
"svchost.exe","10720","Services","0","12,756 K"
"svchost.exe","8556","Console","1","19,960 K"
"svchost.exe","6316","Services","0","21,700 K"
"msedge.exe","6004","Console","1","34,400 K"
"RuntimeBroker.exe","4920","Console","1","37,912 K"
"msedge.exe","4328","Console","1","40,520 K"
"ShellHost.exe","10996","Console","1","49,880 K"
"MoUsoCoreWorker.exe","1516","Services","0","15,052 K"
"cmd.exe","6092","Console","1","10,900 K"
"conhost.exe","10524","Console","1","12,812 K"
"OpenConsole.exe","4904","Console","1","17,744 K"
"WindowsTerminal.exe","3908","Console","1","97,796 K"
"svchost.exe","11812","Services","0","12,392 K"
"svchost.exe","9972","Services","0","15,096 K"
"backgroundTaskHost.exe","9792","Console","1","40,444 K"
"SoftLandingTask.exe","11428","Console","1","51,824 K"
"StoreDesktopExtension.exe","11384","Console","1","34,552 K"
"svchost.exe","11628","Services","0","43,284 K"
"WeChatAppEx.exe","624","Console","1","157,184 K"
"WeChatAppEx.exe","6432","Console","1","47,624 K"
"WeChatAppEx.exe","11140","Console","1","69,704 K"
"WeChatAppEx.exe","10040","Console","1","22,632 K"
"WeChatAppEx.exe","10492","Console","1","60,268 K"
"WeChatAppEx.exe","6300","Console","1","215,988 K"
"WeChatAppEx.exe","11468","Console","1","206,212 K"
"WeChatAppEx.exe","2208","Console","1","127,064 K"
"KaypalAI-Setup-1.1.35.exe","3900","Console","1","60,888 K"
"sppsvc.exe","6652","Services","0","18,048 K"
"WmiPrvSE.exe","2640","Services","0","18,072 K"
"conhost.exe","11284","Services","0","13,696 K"
"cmd.exe","6332","Services","0","14,532 K"
"tasklist.exe","8596","Services","0","14,900 K"
